,movieId,imdbId,tmdbId,imdb_link
0,1,0114709,862.0,https://www.imdb.com/title/tt0114709
1,2,0113497,8844.0,https://www.imdb.com/title/tt0113497
2,3,0113228,15602.0,https://www.imdb.com/title/tt0113228
3,4,0114885,31357.0,https://www.imdb.com/title/tt0114885
4,5,0113041,11862.0,https://www.imdb.com/title/tt0113041
5,6,0113277,949.0,https://www.imdb.com/title/tt0113277
6,7,0114319,11860.0,https://www.imdb.com/title/tt0114319
7,8,0112302,45325.0,https://www.imdb.com/title/tt0112302
8,9,0114576,9091.0,https://www.imdb.com/title/tt0114576
9,10,0113189,710.0,https://www.imdb.com/title/tt0113189
10,11,0112346,9087.0,https://www.imdb.com/title/tt0112346
11,12,0112896,12110.0,https://www.imdb.com/title/tt0112896
12,13,0112453,21032.0,https://www.imdb.com/title/tt0112453
13,14,0113987,10858.0,https://www.imdb.com/title/tt0113987
14,15,0112760,1408.0,https://www.imdb.com/title/tt0112760
15,16,0112641,524.0,https://www.imdb.com/title/tt0112641
16,17,0114388,4584.0,https://www.imdb.com/title/tt0114388
17,18,0113101,5.0,https://www.imdb.com/title/tt0113101
18,19,0112281,9273.0,https://www.imdb.com/title/tt0112281
19,20,0113845,11517.0,https://www.imdb.com/title/tt0113845
20,21,0113161,8012.0,https://www.imdb.com/title/tt0113161
21,22,0112722,1710.0,https://www.imdb.com/title/tt0112722
22,23,0112401,9691.0,https://www.imdb.com/title/tt0112401
23,24,0114168,12665.0,https://www.imdb.com/title/tt0114168
24,25,0113627,451.0,https://www.imdb.com/title/tt0113627
25,26,0114057,16420.0,https://www.imdb.com/title/tt0114057
26,27,0114011,9263.0,https://www.imdb.com/title/tt0114011
27,28,0114117,17015.0,https://www.imdb.com/title/tt0114117
28,29,0112682,902.0,https://www.imdb.com/title/tt0112682
29,30,0115012,37557.0,https://www.imdb.com/title/tt0115012
30,31,0112792,9909.0,https://www.imdb.com/title/tt0112792
31,32,0114746,63.0,https://www.imdb.com/title/tt0114746
32,34,0112431,9598.0,https://www.imdb.com/title/tt0112431
33,36,0112818,687.0,https://www.imdb.com/title/tt0112818
34,38,0113442,33689.0,https://www.imdb.com/title/tt0113442
35,39,0112697,9603.0,https://www.imdb.com/title/tt0112697
36,40,0112749,34615.0,https://www.imdb.com/title/tt0112749
37,41,0114279,31174.0,https://www.imdb.com/title/tt0114279
38,42,0112819,11443.0,https://www.imdb.com/title/tt0112819
39,43,0114272,35196.0,https://www.imdb.com/title/tt0114272
40,44,0113855,9312.0,https://www.imdb.com/title/tt0113855
41,45,0114681,577.0,https://www.imdb.com/title/tt0114681
42,46,0113347,11861.0,https://www.imdb.com/title/tt0113347
43,47,0114369,807.0,https://www.imdb.com/title/tt0114369
44,48,0114148,10530.0,https://www.imdb.com/title/tt0114148
45,49,0114916,8391.0,https://www.imdb.com/title/tt0114916
46,50,0114814,629.0,https://www.imdb.com/title/tt0114814
47,52,0113819,11448.0,https://www.imdb.com/title/tt0113819
48,53,0110299,49133.0,https://www.imdb.com/title/tt0110299
49,54,0112499,26441.0,https://www.imdb.com/title/tt0112499
50,55,0113158,97406.0,https://www.imdb.com/title/tt0113158
51,57,0113321,9089.0,https://www.imdb.com/title/tt0113321
52,58,0110877,11010.0,https://www.imdb.com/title/tt0110877
53,60,0113419,11359.0,https://www.imdb.com/title/tt0113419
54,61,0116260,17182.0,https://www.imdb.com/title/tt0116260
55,62,0113862,2054.0,https://www.imdb.com/title/tt0113862
56,63,0116126,10607.0,https://www.imdb.com/title/tt0116126
57,64,0118002,19760.0,https://www.imdb.com/title/tt0118002
58,65,0115683,9536.0,https://www.imdb.com/title/tt0115683
59,66,0116839,11525.0,https://www.imdb.com/title/tt0116839
