,Unnamed: 0,movieId,average_rating,standardized_vote_count,title,genres
0,0,1,3.92093023255814,3.2674772036474167,Toy Story (1995),Adventure Animation Children Comedy Fantasy
1,1,2,3.4318181818181817,1.6717325227963526,Jumanji (1995),Adventure Children Fantasy
2,2,6,3.946078431372549,1.5501519756838906,Heat (1995),Action Crime Thriller
3,3,10,3.496212121212121,2.0060790273556237,GoldenEye (1995),Action Adventure Thriller
4,4,32,3.983050847457627,2.689969604863222,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery Sci-Fi Thriller
5,5,34,3.65234375,1.945288753799392,Babe (1995),Children Drama
6,6,39,3.293269230769231,1.580547112462006,Clueless (1995),Comedy Romance
7,7,47,3.975369458128079,3.0851063829787235,Seven (a.k.a. Se7en) (1995),Mystery Thriller
8,8,50,4.237745098039215,3.1003039513677813,The Usual Suspects (1995),Crime Mystery Thriller
9,9,110,4.031645569620253,3.601823708206687,Braveheart (1995),Action Drama War
10,10,111,4.105769230769231,1.580547112462006,Taxi Driver (1976),Crime Drama Thriller
11,11,150,3.845771144278607,3.054711246200608,Apollo 13 (1995),Adventure Drama IMAX
12,12,153,2.916058394160584,2.082066869300912,Batman Forever (1995),Action Adventure Comedy Crime
13,13,161,3.6359223300970873,1.5653495440729484,Crimson Tide (1995),Drama Thriller War
14,14,165,3.555555555555556,2.188449848024316,Die Hard: With a Vengeance (1995),Action Crime Thriller
15,15,185,3.040178571428572,1.702127659574468,The Net (1995),Action Crime Thriller
16,16,208,2.9130434782608696,1.7477203647416413,Waterworld (1995),Action Adventure Sci-Fi
17,17,223,3.855769230769231,1.580547112462006,Clerks (1994),Comedy
18,18,231,3.0601503759398496,2.021276595744681,Dumb & Dumber (Dumb and Dumber) (1994),Adventure Comedy
19,19,253,3.458715596330275,1.656534954407295,Interview with the Vampire: The Vampire Chronicles (1994),Drama Horror
20,20,260,4.231075697211155,3.814589665653496,Star Wars: Episode IV - A New Hope (1977),Action Adventure Sci-Fi
21,21,292,3.4257425742574257,1.534954407294833,Outbreak (1995),Action Drama Sci-Fi Thriller
22,22,293,4.018796992481203,2.021276595744681,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action Crime Drama Thriller
23,23,296,4.197068403908795,4.665653495440729,Pulp Fiction (1994),Comedy Crime Drama Thriller
24,24,316,3.375,2.127659574468085,Stargate (1994),Action Adventure Sci-Fi
25,25,318,4.429022082018927,4.817629179331307,The Shawshank Redemption (1994),Crime Drama
26,26,329,3.3935185185185186,1.6413373860182372,Star Trek: Generations (1994),Adventure Drama Sci-Fi
27,27,344,3.040372670807453,2.4468085106382977,Ace Ventura: Pet Detective (1994),Comedy
28,28,349,3.6045454545454554,1.6717325227963526,Clear and Present Danger (1994),Action Crime Drama Thriller
29,29,356,4.164133738601824,5.0,Forrest Gump (1994),Comedy Drama Romance War
30,30,357,3.5194174757281558,1.5653495440729484,Four Weddings and a Funeral (1994),Comedy Romance
31,31,364,3.941860465116279,2.613981762917933,The Lion King (1994),Adventure Animation Children Drama Musical IMAX
32,32,367,3.1847133757961785,2.386018237082067,The Mask (1994),Action Comedy Crime Fantasy
33,33,377,3.5292397660818717,2.5987841945288754,Speed (1994),Action Romance Thriller
34,34,380,3.497191011235955,2.7051671732522795,True Lies (1994),Action Adventure Comedy Romance Thriller
35,35,434,3.0346534653465347,1.534954407294833,Cliffhanger (1993),Action Adventure Thriller
36,36,454,3.5346534653465347,1.534954407294833,The Firm (1993),Drama Thriller
37,37,457,3.992105263157895,2.8875379939209727,The Fugitive (1993),Thriller
38,38,480,3.75,3.617021276595745,Jurassic Park (1993),Action Adventure Sci-Fi Thriller
39,39,500,3.388888888888889,2.188449848024316,Mrs. Doubtfire (1993),Comedy Drama
40,40,527,4.225,3.3434650455927053,Schindler's List (1993),Drama War
41,41,539,3.4716981132075477,1.6109422492401215,Sleepless in Seattle (1993),Comedy Drama Romance
42,42,541,4.100806451612903,1.8844984802431608,Blade Runner (1982),Action Sci-Fi Thriller
43,43,586,2.9956896551724137,1.7629179331306992,Home Alone (1990),Children Comedy
44,44,587,3.4347826086956523,1.7477203647416413,Ghost (1990),Comedy Drama Fantasy Romance Thriller
45,45,588,3.792349726775957,2.7811550151975686,Aladdin (1992),Adventure Animation Children Comedy Musical
46,46,589,3.970982142857143,3.404255319148936,Terminator 2: Judgment Day (1991),Action Sci-Fi
47,47,590,3.8353658536585367,2.492401215805472,Dances with Wolves (1990),Adventure Drama Western
48,48,592,3.4285714285714284,2.872340425531915,Batman (1989),Action Crime Thriller
49,49,593,4.161290322580645,4.240121580547113,The Silence of the Lambs (1991),Crime Horror Thriller
50,50,595,3.7705479452054793,2.218844984802432,Beauty and the Beast (1991),Animation Children Fantasy Musical Romance IMAX
51,51,597,3.4851851851851854,2.0516717325227964,Pretty Woman (1990),Comedy Romance
52,52,608,4.116022099447513,2.750759878419453,Fargo (1996),Comedy Crime Drama Thriller
53,53,648,3.537037037037037,2.4620060790273555,Mission: Impossible (1996),Action Adventure Mystery Thriller
54,54,733,3.6404958677685952,1.838905775075988,The Rock (1996),Action Adventure Thriller
55,55,736,3.321138211382114,1.8693009118541035,Twister (1996),Action Adventure Romance Thriller
56,56,778,4.03921568627451,1.5501519756838906,Trainspotting (1996),Comedy Crime Drama
57,57,780,3.445544554455445,3.069908814589666,Independence Day (a.k.a. ID4) (1996),Action Adventure Sci-Fi Thriller
